friday,url
03/04/2022,https://www.youtube.com/watch?v=iO9MwKatf58
03/11/2022,https://www.youtube.com/watch?v=j0fN0USrEmo
03/18/2022,https://www.youtube.com/watch?v=Xp9c4prA3FM
03/25/2022,https://www.youtube.com/watch?v=oyVh3nDGbZc
04/01/2022,https://www.youtube.com/watch?v=sJVfHp5yC6A
04/08/2022,https://www.youtube.com/watch?v=c25cNtFzJVk
04/15/2022,https://www.youtube.com/watch?v=waqQQcZB-uU
04/22/2022,https://www.youtube.com/watch?v=XtgyydJPDeU
04/29/2022,https://www.youtube.com/watch?v=8bZe9Hdx8LU
05/06/2022,https://www.youtube.com/watch?v=5CguDglFXh4
05/13/2022,https://www.youtube.com/watch?v=C9at1RbJjZ8
05/20/2022,https://www.youtube.com/watch?v=m5dg80x4tWA
05/27/2022,https://www.youtube.com/watch?v=s3WDYt_SMm8
06/03/2022,https://www.youtube.com/watch?v=5mrWge819gk
06/10/2022,https://www.youtube.com/watch?v=Y3z83yTR2Ks
06/17/2022,https://www.youtube.com/watch?v=Pb_J6HdYYgI
06/24/2022,https://www.youtube.com/watch?v=TqzFDT9oeyM
07/01/2022,https://www.youtube.com/watch?v=fB3lxKc6AOA
07/08/2022,https://www.youtube.com/watch?v=vAFLP9CteHw
07/15/2022,https://www.youtube.com/watch?v=U8dIV4l27PU
07/22/2022,https://www.youtube.com/watch?v=4gBEGHjpOzo
07/29/2022,https://www.youtube.com/watch?v=Yt4Ng1RRS-w
08/05/2022,https://www.youtube.com/watch?v=SciP1me9ZIU
08/12/2022,https://www.youtube.com/watch?v=JmayRRT91aQ
08/19/2022,https://www.youtube.com/watch?v=QODAR1szHNM
08/26/2022,https://www.youtube.com/watch?v=-99s6Wb-BTY
09/02/2022,https://www.youtube.com/watch?v=g_qxx51IX9U
09/09/2022,https://www.youtube.com/watch?v=2qIsiCKy52w
09/16/2022,https://www.youtube.com/watch?v=aclfK5UVEtw
09/23/2022,https://www.youtube.com/watch?v=pYM-NnhJKC4
09/30/2022,https://www.youtube.com/watch?v=TeidiPclW9k
10/07/2022,https://www.youtube.com/watch?v=wcD1VnnfFFs
10/14/2022,https://www.youtube.com/watch?v=a4usb4foHkU
10/21/2022,https://www.youtube.com/watch?v=mcoSetQyMEY
10/28/2022,https://www.youtube.com/watch?v=yB57vAFjAVI
11/04/2022,https://www.youtube.com/watch?v=_dXV2rfdn8g
11/11/2022,https://www.youtube.com/watch?v=FFv7nkwM1WQ
11/18/2022,https://www.youtube.com/watch?v=_5ZV1I8FMAM
11/25/2022,https://www.youtube.com/watch?v=TjtesQBZ-RI
12/02/2022,https://www.youtube.com/watch?v=2t039WwDKPk
12/09/2022,https://www.youtube.com/watch?v=epHpEKv-4q8
12/16/2022,https://www.youtube.com/watch?v=l21GFyOO8Ug
07/28/2023,https://youtu.be/NP8gmOI6JK4
